id,color,school_id
591,green,40.0
593,green,6.0
599,green,15.0
600,green,173.0
601,green,117.0
602,green,18.0
1064,green,37.0
603,green,7.0
605,lime,82.0
606,lime,34.0
609,lime,15.0
1065,green,135.0
1066,green,135.0
1067,green,224.0
1754,lime,38.0
1744,green,286.0
3329,green,
1734,green,164.0
1753,lime,254.0
1756,lime,192.0
1730,green,99999.0
1737,green,49.0
1752,lime,38.0
1759,lime,198.0
1739,green,152.0
1742,green,223.0
1749,green,48.0
1748,green,152.0
1736,green,30.0
1750,green,30.0
1731,green,25.0
1763,lime,111.0
1751,lime,62.0
10155,lime,
9543,green,251.0
1143,green,18.0
1144,green,18.0
1145,green,221.0
1146,green,180.0
9546,green,144.0
9547,green,215.0
9548,green,215.0
1147,green,203.0
1148,green,210.0
9549,green,216.0
9550,lime,216.0
1149,green,177.0
9553,green,37.0
9554,green,216.0
9555,green,215.0
1150,green,177.0
1151,green,266.0
1152,green,182.0
9558,lime,37.0
1153,lime,210.0
1154,lime,165.0
10156,green,
1155,lime,147.0
610,lime,203.0
611,lime,201.0
613,green,33.0
614,green,72.0
615,green,203.0
616,green,195.0
618,green,235.0
619,green,200.0
641,green,128.0
642,green,123.0
643,green,133.0
644,green,128.0
645,green,133.0
646,green,90.0
647,green,201.0
648,green,212.0
649,green,90.0
650,green,212.0
3330,green,
1825,lime,111.0
1831,green,49.0
1846,green,277.0
1839,green,89.0
1766,lime,192.0
1811,green,257.0
1794,green,30.0
1808,green,192.0
1788,green,277.0
1789,green,30.0
1791,green,253.0
1793,green,223.0
1838,green,89.0
1782,green,49.0
1764,lime,198.0
1835,green,61.0
1816,green,164.0
1775,green,192.0
1819,green,253.0
1822,lime,198.0
1797,green,198.0
1833,green,198.0
1828,green,274.0
1760,lime,49.0
1818,green,30.0
1840,green,61.0
1827,lime,111.0
1817,green,229.0
1845,green,253.0
1774,green,38.0
1813,green,164.0
1784,green,223.0
1767,lime,38.0
1844,green,79.0
1823,lime,192.0
9559,green,
1847,green,111.0
10157,green,
10159,green,
1801,green,198.0
1829,green,192.0
1279,green,96.0
3317,green,194.0
3318,green,184.0
3319,green,
1853,green,62.0
3457,lime,251.0
1302,green,15.0
1765,lime,62.0
1780,green,164.0
1795,green,286.0
1772,lime,111.0
1810,green,192.0
1769,lime,192.0
1802,green,89.0
1820,green,223.0
1761,lime,25.0
1803,green,89.0
2143,green,27.0
1777,green,152.0
1805,green,223.0
1832,green,27.0
1928,green,111.0
1897,lime,198.0
1867,green,259.0
1921,green,256.0
1874,green,198.0
1875,green,27.0
1908,green,274.0
1885,lime,198.0
1915,green,111.0
